product_category_name,product_category
home_comfort_2,0
flowers,1
diapers_and_hygiene,2
cds_dvds_musicals,3
christmas_supplies,4
electronics,5
food_drink,6
fashio_female_clothing,7
food,8
drinks,9
telephony,10
fashion_childrens_clothes,11
books_technical,12
fashion_underwear_beach,13
fashion_sport,14
fashion_bags_accessories,15
arts_and_craftmanship,16
books_imported,17
fashion_male_clothing,18
tablets_printing_image,19
books_general_interest,20
furniture_decor,21
market_place,22
fashion_shoes,23
housewares,24
stationery,25
dvds_blu_ray,26
bed_bath_table,27
cine_photo,28
party_supplies,29
home_appliances,30
costruction_tools_garden,31
signaling_and_security,32
pet_shop,33
garden_tools,34
art,35
sports_leisure,36
perfumery,37
computers_accessories,38
toys,39
furniture_mattress_and_upholstery,40
luggage_accessories,41
health_beauty,42
home_confort,43
construction_tools_lights,44
baby,45
home_construction,46
audio,47
consoles_games,48
auto,49
security_and_services,50
la_cuisine,51
furniture_living_room,52
industry_commerce_and_business,53
construction_tools_construction,54
music,55
costruction_tools_tools,56
office_furniture,57
kitchen_dining_laundry_garden_furniture,58
cool_stuff,59
furniture_bedroom,60
air_conditioning,61
watches_gifts,62
construction_tools_safety,63
fixed_telephony,64
small_appliances,65
musical_instruments,66
agro_industry_and_commerce,67
home_appliances_2,68
small_appliances_home_oven_and_coffee,69
computers,70
